"row_index","intID","AlertType","AlertState","DateCreated","DateClosed","CaseOpen","CaseClosed","CaseReported","CaseState","PEP","CusRiskCategory","Type","IndustryCode","PEP_clean","CusRiskCategory_clean","escalated_to_case","sar_filed","case_state_clean","days_to_alert_close","days_case_investig","days_close_to_report","year_created","yearmon_created","IndustryRiskScore","IndustrySegment","IndustrySegment_clean"
"7858",37850,"Unusual behaviour","Closed - Not Suspicious",2021-06-30,2021-07-01,NA,NA,NA,NA,NA,"Medium Risk","Private Banking",NA,"Unknown / not recorded","Medium Risk",FALSE,FALSE,"No case opened",1,NA,NA,2021,2021-06-01,NA,NA,"Not applicable (PB)"
"17429",19250,"Awakening Account","Closed - Not Suspicious",2018-01-11,2018-01-11,NA,NA,NA,NA,NA,"Lower Risk","LC&FI","64190","Not applicable (LC&FI)","Lower Risk",FALSE,FALSE,"No case opened",0,NA,NA,2018,2018-01-01,NA,NA,"Other / not in high-risk industry list"
"14570",16376,"repayement of funds","Closed - Not Investigated",2016-08-14,2016-08-14,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",0,NA,NA,2016,2016-08-01,NA,NA,"Other / not in high-risk industry list"
"3074",3074,"Existing Accounts","Closed - Not Suspicious",2016-08-27,2017-04-04,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",220,NA,NA,2016,2016-08-01,NA,NA,"Not applicable (PB)"
"15728",17534,"Cash","Closed - Not Suspicious",2017-01-09,2017-07-01,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",173,NA,NA,2017,2017-01-01,NA,NA,"Other / not in high-risk industry list"
"4168",4168,"New Destinations with high turnover","Closed - Not Suspicious",2018-03-27,2018-03-29,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",2,NA,NA,2018,2018-03-01,NA,NA,"Not applicable (PB)"
"16507",18313,"Credit Cards","Closed - Not Suspicious",2017-05-05,2017-05-08,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",3,NA,NA,2017,2017-05-01,NA,NA,"Other / not in high-risk industry list"
"1992",1992,"Awakening Account","Closed - Not Suspicious",2015-01-22,2015-01-23,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",1,NA,NA,2015,2015-01-01,NA,NA,"Not applicable (PB)"
"253",253,"Unusual behaviour","Closed - Not Suspicious",2011-02-16,2011-02-17,NA,NA,NA,NA,"N","Lower Risk","Private Banking",NA,"Not PEP","Lower Risk",FALSE,FALSE,"No case opened",1,NA,NA,2011,2011-02-01,NA,NA,"Not applicable (PB)"
"6516",6516,"Existing Accounts","Closed - Not Suspicious",2020-09-02,2020-09-03,NA,NA,NA,NA,"N","Lower Risk","Private Banking",NA,"Not PEP","Lower Risk",FALSE,FALSE,"No case opened",1,NA,NA,2020,2020-09-01,NA,NA,"Not applicable (PB)"
"1765",1765,"Unusual behaviour","Closed - Not Suspicious",2014-10-11,2014-10-13,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",2,NA,NA,2014,2014-10-01,NA,NA,"Not applicable (PB)"
